,Date,,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
38,08-12-2022,Night,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65,3121.65
39,08-12-2022,Morning,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62,7489.62
40,09-12-2022,RTC,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53,5120.53
41,09-12-2022,Evening,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06,5605.06
42,09-12-2022,Day,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88,5399.88
43,09-12-2022,Night,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61,3033.61
44,09-12-2022,Morning,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96,7556.96
45,10-12-2022,RTC,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28,4268.28
46,10-12-2022,Evening,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25,4671.25
47,10-12-2022,Day,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25,4333.25
48,10-12-2022,Night,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69,2863.69
49,10-12-2022,Morning,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2,6008.2
50,11-12-2022,RTC,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64,3684.64
51,11-12-2022,Evening,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61,4049.61
52,11-12-2022,Day,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24,3751.24
53,11-12-2022,Night,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45,2697.45
54,11-12-2022,Morning,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26,4748.26
55,12-12-2022,RTC,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05,4208.05
56,12-12-2022,Evening,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17,4599.17
57,12-12-2022,Day,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7,4789.7
58,12-12-2022,Night,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08,2541.08
59,12-12-2022,Morning,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72,5520.72
60,13-12-2022,RTC,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56,4144.56
61,13-12-2022,Evening,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18,4544.18
